,0,1,2
0,0.0,0.0,0.0
1,2516592.684062603,3186524.9388541253,0.0104813
2,2478556.457784678,3142628.576933645,0.0111813
3,2469207.9946594797,3117119.6841293527,0.0112438
4,2431586.393152245,3087062.168460675,0.0112938
5,2398992.367609385,3042187.87193155,0.0112938
6,2443044.0438922397,3101131.21853047,0.0112813
7,2426573.298490726,3077085.3738062456,0.0112562999999999
8,2444467.5467308713,3065963.6135425013,0.0112625
9,2417679.240710921,3030462.1217921395,0.0112
10,2376224.883454102,2991120.4503893335,0.0112
11,2371023.8752839575,2994413.9913317375,0.0112125
12,2377113.284105417,3006540.6704232437,0.011225
13,2614099.104268454,3205928.1641230774,0.0113625
14,2742660.433580338,3451434.2404499887,0.0114063
15,2686030.431911342,3373741.611897809,0.0114375
16,2604376.110973722,3275856.826176357,0.011525
17,2520057.108306232,3210657.4494237103,0.0116
18,2934400.4925742494,3625349.3969957163,0.011675
19,2884822.438610302,3570320.7380418926,0.01175
20,2922140.3459424255,3603534.877871834,0.0118
21,2881366.6108325985,3547085.2009284073,0.0118999999999999
22,2751793.3560222057,3439354.7468046704,0.0120313
23,2846087.04179369,3548833.9717716104,0.012075
24,3088646.0345776128,3842404.630070076,0.0121938
25,3146925.916705202,3984277.621719534,0.0122875
26,3279527.0519805388,4160111.209928005,0.0124313
27,3403954.2268122532,4292836.909292281,0.0125499999999999
28,3485133.5188399674,4424529.87744282,0.0126249999999999
29,3425130.120419937,4352807.3878298,0.0127313
30,3333448.6499581663,4230885.071067618,0.0127688
31,3271709.688856185,4160470.1444971766,0.0128125
32,3183221.23260541,4080660.4935917463,0.0128688
33,3092372.590549838,3963861.9509815495,0.0129125
34,3034789.294316025,3854784.6848747716,0.0130313
35,2951479.6592405243,3748904.5175401457,0.013175
36,2979153.669930077,3778343.0916897496,0.0132125
37,3017520.2544398913,3827627.1355713923,0.0133875
38,2946993.689701366,3731160.503632977,0.0137063
39,2930523.676411952,3721357.1973715215,0.0137749999999999
40,2917818.1281528524,3706125.0678418963,0.0138063
41,2834784.6368786516,3599385.6537040304,0.0137688
42,2780227.2206267016,3523059.733801541,0.0137313
43,2706572.3142597987,3432622.4784900253,0.0137437999999999
