,0,1,2
0,0,0,0
1,3117451.793,3682378.033,-259449.4078
2,3030254.758,3578224.201,-356746.0679
3,2989866.083,3530062.735,969645.3804
4,2939603.628,3470151.046,113779.9888
5,2859097.543,3374064.732,-226596.8412
6,3005230.86,3548805.809,2198922.327
7,2966259.078,3503106.937,708353.3498
8,2944550.116,3477290.714,4862126.151
9,2871570.759,3391120.999,8254063.4
10,2773716.548,3276007.634,-3331095.489
11,2794616.562,3300352.695,-575757.1167
12,2820208.775,3331201.756,222642.4662
13,3303822.603,3908625.802,-3979654.891
14,3670895.014,4346402.984,-450617.1226
15,3465534.761,4101483.893,-866652.0582
16,3263448.149,3860420.505,-960195.8178
17,3123969.698,3693946.37,804684.3157
18,4160798.159,4930153.167,-360398.1465
19,3975849.481,4709630.371,-1778195.625
20,4076474.076,4829720.19,429999.8795
21,3932373.538,4658023.741,-31808.98315
22,3715770.127,4399701.613,72655.04476
23,3898561.463,4617346.67,831337.256
24,4500539.881,5335589.27,1266504.854
25,4734395.897,5614506.426,85632.87798
26,5159319.158,6122027.416,-643248.6757
27,5506319.225,6535884.382,161580.9488
28,5808182.334,6896734.723,2403624.09
29,5497772.649,6527377.024,-456851.7618
30,5102507.287,6056084.11,-88786.80654
31,4857100.84,5763768.899,487230.0726
32,4528040.971,5371609.74,377177.4792
33,4228031.099,5013928.109,796275.0164
34,4099921.038,4861116.303,-1986376.707
35,3832712.286,4542058.428,-1084165.609
36,3938155.729,4667400.936,1026234.487
37,4091325.488,4849940.852,-1103223.208
38,3868251.161,4583875.262,-1576033.318
39,3873666.648,4590383.634,303352.1053
40,3826304.934,4534392.392,-1032213.489
41,3576646.952,4236510.989,194337.9663
42,3426088.738,4057281.332,1243394.571
43,3234397.029,3829065.601,1109778.018
44,3069431.573,3632805.162,695323.9982
45,2914742.908,3448462.934,1351152.629
46,2805057.704,3317954.42,-617745.3258
47,2901016.635,3432080.332,-108534.4989
48,4357375.041,5168427.363,2208704.459
49,4227494.269,5014305.816,31508.53798
50,4016924.844,4763125.221,-244885.7316
51,3763117.444,4460567.472,-1472801.076
52,3585871.533,4249117.003,-37089.26551
53,3883754.788,4604015.273,315171.3137
54,4253432.624,5044573.288,-1449614.307
55,5692372.179,6759805.809,419339.1468
56,10230183.84,12171169.02,2544566.45
57,12957277.86,15425014.7,1048565.808
58,12904535.21,15362513.91,935370.5817
59,13436512.07,15998149.92,-12543.57315
60,12394219.44,14755479.7,195445.7961
61,11193024.36,13322705.89,-1111272.7
62,11986541.19,14268191.45,360788.3901
63,10805392.4,12859563.8,391645.409
64,10725128.51,12764673.71,-594601.2204
65,11286467.19,13433513.68,-529413.2851
66,10290900.8,12246027.65,1887237.313
67,10013122.83,11915100.73,330374.6739
68,11932950.86,14206191.61,-1655729.634
69,11642959.05,13859499.07,-101125.4228
70,10608497.69,12625465,780396.2023
71,9689523.274,11529489.28,-862198.033
72,8824644.634,10498083.07,1350768.392
73,9124426.079,10856579.37,-764663.7245
74,8296711.103,9869409.702,-2070985.423
