,0,1,2
0,0.0,0.0,0.0
1,9774582.428868504,826466.5067493494,0.010475
2,9442576.582346553,819083.0264605274,0.0104813
3,8584383.299215073,803809.6017555706,0.0111813
4,8233237.18517842,794803.9955791797,0.0112438
5,8320592.857686589,796678.4078236031,0.0112938
6,8274030.957720238,798827.7613364359,0.0112938
7,7994405.804667712,793157.1759911634,0.0112813
8,7937127.223948592,776663.4968945435,0.0112562999999999
9,8039007.031340614,781376.8346829644,0.0112625
10,9514687.627642125,793673.3689418319,0.0112
11,8981532.112914741,748130.8831854512,0.0112
12,11349812.360069027,806982.4378968606,0.0112125
13,10502751.612947097,797074.4862413143,0.011225
14,9983447.67524304,782872.9313646143,0.0113625
15,10041049.760300707,797966.9347093826,0.0114063
16,9161627.826637605,787935.0203183452,0.0114375
17,9985736.31668149,797502.7734207594,0.011525
18,9688209.140311036,793813.7839436592,0.0116
19,9222889.467661364,788910.9057212082,0.011675
20,8666814.543744925,780574.0282165445,0.01175
21,9770742.36150284,808338.2304680882,0.0118
22,9532484.492587155,801987.8378027092,0.0118999999999999
23,9038420.339041328,788458.99154368,0.0120313
24,8482062.076172268,775717.1242000031,0.012075
25,8472330.682662362,773378.1255148444,0.0121938
26,8760493.272149857,779321.4002287859,0.0122875
27,8989007.184891498,784059.7115523329,0.0124313
28,8259981.876650758,777391.6733873395,0.0125499999999999
29,8122885.700674864,772434.3306887785,0.0126249999999999
30,7606296.654549858,753119.0659058791,0.0127313
31,8876506.22248384,777807.9512371203,0.0127688
32,8371421.495010422,773613.5173140323,0.0128125
33,7968861.862395947,767604.4489055598,0.0128688
34,8667766.593316931,775024.8236763083,0.0129125
35,9452825.888818173,791301.2900377646,0.0130313
36,7567951.67547294,769047.9865408627,0.013175
37,8233019.36448363,773404.4138433451,0.0132125
38,9806983.76113868,799586.9072434601,0.0133875
39,9708207.209680345,796625.4045750791,0.0137063
40,8955917.782930667,788899.4205787304,0.0137749999999999
41,8313886.629405916,775892.9550808381,0.0138063
42,8279512.840846737,772181.2009821977,0.0137688
43,9243034.18692914,787164.8199996492,0.0137313
44,8346435.993721783,768370.1629837384,0.0137437999999999
45,8835048.004232772,777767.1381218653,0.0137749999999999
46,9577229.46513625,791992.3816871479,0.0137813
47,8235594.1328140125,760688.0679428268,0.0138438
48,9365419.636569904,767165.9793223832,0.0138625
49,8747891.228894802,754536.8526712363,0.0138375
50,8716455.802300194,749878.9271226216,0.0138313
51,8500338.865197793,741805.7811864795,0.0138438
52,7844233.363039131,731182.6306118636,0.0138125
53,7308990.398900171,727952.3195138128,0.0137938
54,7091851.254323433,725141.174172906,0.0138
55,7486431.996390442,721564.1478248443,0.0138188
56,8154621.413995706,728632.3952026563,0.0138188
57,8246049.044037491,725659.0760321119,0.0138313
58,7478467.599965409,699814.9988937218,0.0138313
59,7311478.416811843,693484.1664672279,0.0138313
60,7632144.444414991,698038.1338878738,0.0139
61,7863187.098916544,702966.3860819517,0.0140063
62,7377688.936105383,694726.9178921919,0.0140688
63,7360467.222796125,691871.2941247623,0.0141313
64,8314200.457287399,699777.9849146289,0.0141812999999999
65,9761625.600233845,710000.1328749659,0.0142188
66,9337803.39792591,698242.2329997433,0.0142875
67,9453005.044180728,694683.1133764407,0.0144999999999999
68,8938809.887760537,674751.342517142,0.0145937999999999
69,8829093.89211823,667448.0865660106,0.0146563
70,8684562.938574292,672950.013433564,0.0146813
71,8463516.292617386,673258.0531400641,0.0146938
72,8214502.188843156,659645.3442979214,0.0147188
73,7873384.029325848,658016.6502009736,0.014675
74,7884879.563411904,655015.1952517658,0.0147249999999999
75,8070302.125895134,654564.8362274537,0.0147938
76,7672528.051516492,652080.6130501666,0.0149062999999999
77,7728427.257150374,650368.4843225266,0.0149813
