,0,1,2
0,0.0,0.0,0.0
1,2814756.587116139,3321199.958841909,1652687.8295525042
2,2813740.954412014,3320118.2916723187,-259449.40777396248
3,2815326.566378663,3321862.487040251,-356746.0679119131
4,2815212.40967732,3321739.597792551,969645.380401063
5,2815637.604907264,3322287.045089883,113779.98875072609
6,2816728.193411542,3323527.4858824923,-226596.84122819835
7,2817005.045932847,3324294.114850014,2198922.3267917032
8,2810300.2548772427,3317082.613803103,708353.3498089088
9,2810100.070558257,3316921.5984760365,4862126.151335846
10,2787585.8049556003,3290945.5552911283,8254063.400304026
11,2724315.855954132,3217083.552496751,-3331095.489295823
12,2720122.8913979325,3211498.2495548977,-575757.1167144519
13,2720224.676597412,3211942.8794917422,222642.4661695307
14,2720649.558305666,3213029.564825046,-3979654.891159013
15,2716417.77709892,3207923.110484691,-450617.12259264354
16,2716151.5221241736,3207635.720073717,-866652.058173366
17,2715779.3446960337,3207172.960600981,-960195.8178268524
18,2715769.5350054926,3207054.014973656,804684.3157172833
19,2730078.5296006226,3223621.63274569,-360398.146478842
20,2729607.6623510085,3223139.993317705,-1778195.6250121244
21,2728672.1415489567,3222091.095959592,429999.8795399849
22,2727556.7326101847,3220944.2260397584,-31808.983152548768
23,2727509.218473259,3220925.3038176317,72655.04475715313
24,2735068.8021777757,3229557.7043852825,831337.2559624432
25,2733466.573174966,3227862.318722395,1266504.854044586
26,2735421.96967743,3230173.4154480794,85632.87797503438
27,2737626.765791567,3233484.932057254,-643248.6757317787
28,2737602.7345629972,3233419.034007616,161580.94875402094
29,2741433.4341284097,3238782.7406657687,2403624.089701024
30,2733873.6656278144,3230657.894641817,-456851.7618219784
31,2733174.286152698,3229994.7795810346,-88786.80654185214
32,2732666.355280754,3229789.2395648453,487230.07255782536
33,2730920.046745615,3228042.639244724,377177.47920414177
34,2729960.8539823582,3227062.2122025415,796275.0164304087
35,2731217.1617266843,3228555.822984888,-1986376.706767222
36,2730436.4784472105,3227287.604383237,-1084165.609056754
37,2734489.7334803455,3231694.0823488543,1026234.4865718356
38,2739364.004667426,3237350.3379142284,-1103223.2075986238
39,2738633.4339252175,3236491.586327389,-1576033.3181572903
40,2737551.261774175,3235249.6918195556,303352.1053497135
41,2736612.274451165,3234630.4769115127,-1032213.4890434291
42,2736441.5536755878,3234332.1015846324,194337.96625448813
43,2735142.402880669,3233135.437453146,1243394.5711741252
44,2731681.366559566,3229437.194837336,1109778.0176013475
45,2728462.9048037548,3226105.084387962,695323.9982170345
46,2727425.7747444846,3225035.0953742317,1351152.6294676105
47,2724408.127418062,3221757.343222391,-617745.3257586865
48,2728509.6330121877,3226317.6986022214,-108534.49885418928
49,2748359.487954281,3249228.295092459,2208704.4591288567
50,2741347.7823855053,3241662.3217627816,31508.53798287388
51,2742020.341514582,3242446.6114205658,-244885.7316477197
52,2741192.731107047,3241637.7018995094,-1472801.075550849
53,2740115.7269871654,3240317.707872764,-37089.26550841101
54,2748273.781510814,3249638.005614913,315171.3137458107
55,2757130.2894259645,3259816.1169157834,-1449614.3074270436
56,2780026.701607764,3286022.901534879,419339.14681147074
