date,index,eur/jpy,nikkei225,eem,eur/usd,dbc,aex,nasdaq,euribor,nikkei_eur,nasdaq_eur,eem_eur,dbc_eur,loanrate,nikkei_ret,nasdaq_ret,aex_ret,eem_ret,dbc_ret,loanrate_change,loss
2013-01-09,652,113.648003,10578.57031,44.439999,1.308233,27.610001,350.0,3105.810059,0.1106,1202233.390326591,4063.1232109157468,58.137873211767,36.120314438233,0.021106,0.006687745097814002,0.004517870907365662,0.0025461386617653403,0.004284570815240141,-0.0014476658075199822,0.0,-0.41561697317819407
2013-01-10,653,115.053001,10652.63965,44.830002,1.305483,27.709999,350.690002,3121.76001,0.1106,1225618.1603040895,4075.4046231348298,58.524805500965996,36.174932624517,0.021106,0.006977429985560946,0.00512237861600795,0.0019694935594012364,0.008737660511151102,0.00361526062600781,0.0,-0.565542011676641
2013-01-11,654,118.462997,10801.57031,44.470001,1.327316,27.59,350.130005,3125.629883,0.1106,1279586.391228819,4148.698553784028,59.025743847316,36.62064844,0.021106,0.013883806730142112,0.0012388768945879036,-0.0015981196700778355,-0.008062775770655062,-0.004339934557636926,0.0,-0.2572030599870308
2013-01-15,658,119.665001,10879.08008,44.470001,1.337793,27.65,347.859985,3110.780029,0.1106,1301845.1286522802,4161.579747335997,59.49165604779301,36.98997645,0.021106,0.007150163747704497,-0.004762317511307401,-0.006504471513571808,0.0,0.0021723397391490984,0.0,0.17198233906613605
2013-01-16,659,118.120003,10600.44043,44.43,1.330849,27.68,348.839996,3117.540039,0.1106,1252124.0553929214,4148.975043363111,59.12962107,36.837900319999996,0.021106,-0.025946136127688035,0.0021707338674552545,0.0028132960329996237,-0.0008999100618574118,0.0010844027811249823,0.0,0.4402105865710452
2013-01-17,660,117.771004,10609.63965,44.68,1.32908,27.799999,351.190002,3136.0,0.1106,1249507.9136587086,4167.99488,59.383294400000004,36.94842267092,0.021106,0.0008674385520599515,0.005903860694653318,0.0067140403541881,0.005611057253182672,0.004325853975899019,0.0,-0.5884471845207808
2013-01-18,661,120.105003,10913.29981,44.779999,1.337256,27.98,350.890015,3134.709961,0.1106,1310741.9064199494,4191.909703607016,59.882322342744,37.41642288,0.021106,0.02821922268561572,-0.00041144911061863354,-0.0008545664624906024,0.002235614638210759,0.006453984511967548,0.0,-0.8293663891988448
2013-01-22,665,119.263,10709.92969,44.709999,1.33115,28.059999,353.450012,3143.179932,0.1106,1277298.3446184702,4184.0439664818,59.51571516885001,37.352067668850005,0.021106,-0.01881089194703378,0.0026983512879592553,0.007269239784108983,-0.0015644209596827885,0.0028550697990601392,0.0,0.08301585068492416
2013-01-23,666,117.865997,10486.99023,44.470001,1.331398,28.09,353.01001,3153.669922,0.1106,1236059.558988209,4198.789826810957,59.207270391398005,37.398969820000005,0.021106,-0.021035856323287305,0.0033318246257696416,-0.0012456530962605683,-0.0053823408698532305,0.0010686020797567863,0.0,0.36403787252329717
2013-01-24,667,117.860001,10620.87012,44.310001,1.330849,28.07,354.130005,3130.379883,0.1106,1251775.76296407,4166.062936910667,58.969920520848994,37.356931429999996,0.021106,0.012685481438724722,-0.0074124637331483,0.0031676780065108545,-0.0036044192300077604,-0.0007122507423611424,0.0,-0.0053110290261905915
