DATE,EUR3MTD156N
2011-03-01,1.04938
2011-03-02,1.04750
2011-03-03,1.04813
2011-03-04,1.11813
2011-03-07,1.12438
2011-03-08,1.12938
2011-03-09,1.12938
2011-03-10,1.12813
2011-03-11,1.12563
2011-03-14,1.12625
2011-03-15,1.12000
2011-03-16,1.12000
2011-03-17,1.12125
2011-03-18,1.12250
2011-03-21,1.12688
2011-03-22,1.13625
2011-03-23,1.14063
2011-03-24,1.14375
2011-03-25,1.15250
2011-03-28,1.16000
2011-03-29,1.16750
2011-03-30,1.17500
2011-03-31,1.18000
2011-04-01,1.19000
2011-04-04,1.20313
2011-04-05,1.20750
2011-04-06,1.21938
2011-04-07,1.22875
2011-04-08,1.24313
2011-04-11,1.25500
2011-04-12,1.26250
2011-04-13,1.27313
2011-04-14,1.27688
2011-04-15,1.28125
2011-04-18,1.28688
2011-04-19,1.29125
2011-04-20,1.30313
2011-04-21,1.31750
2011-04-22,.
2011-04-25,.
2011-04-26,1.32125
2011-04-27,1.32813
2011-04-28,1.33875
2011-04-29,1.34500
2011-05-02,1.35125
2011-05-03,1.35625
2011-05-04,1.36625
2011-05-05,1.37938
2011-05-06,1.37063
2011-05-09,1.37750
2011-05-10,1.38063
2011-05-11,1.37688
2011-05-12,1.37313
2011-05-13,1.37438
2011-05-16,1.37750
2011-05-17,1.37813
2011-05-18,1.37875
2011-05-19,1.38438
2011-05-20,1.38625
2011-05-23,1.38375
2011-05-24,1.38313
2011-05-25,1.38438
2011-05-26,1.38125
2011-05-27,1.37938
2011-05-30,1.38000
2011-05-31,1.38188
2011-06-01,1.38188
2011-06-02,1.38313
2011-06-03,1.38313
2011-06-06,1.38313
2011-06-07,1.39000
2011-06-08,1.40063
2011-06-09,1.40688
2011-06-10,1.41313
2011-06-13,1.41813
2011-06-14,1.42188
2011-06-15,1.42875
2011-06-16,1.43750
2011-06-17,1.45000
2011-06-20,1.45938
2011-06-21,1.46563
2011-06-22,1.46813
2011-06-23,1.46938
2011-06-24,1.47188
2011-06-27,1.46750
2011-06-28,1.47250
2011-06-29,1.47938
2011-06-30,1.49063
2011-07-01,1.49813
2011-07-04,1.50625
2011-07-05,1.51438
2011-07-06,1.51688
2011-07-07,1.52625
2011-07-08,1.53250
2011-07-11,1.54563
2011-07-12,1.54375
2011-07-13,1.54938
2011-07-14,1.55125
2011-07-15,1.55250
2011-07-18,1.55375
2011-07-19,1.55375
2011-07-20,1.54813
2011-07-21,1.55063
2011-07-22,1.55563
2011-07-25,1.55813
2011-07-26,1.56000
2011-07-27,1.55938
2011-07-28,1.55688
2011-07-29,1.55688
2011-08-01,1.55750
2011-08-02,1.55563
2011-08-03,1.55438
2011-08-04,1.55313
2011-08-05,1.52188
2011-08-08,1.51813
2011-08-09,1.51188
2011-08-10,1.50188
2011-08-11,1.48938
2011-08-12,1.48875
2011-08-15,1.48938
2011-08-16,1.48750
2011-08-17,1.48500
2011-08-18,1.48375
2011-08-19,1.47813
2011-08-22,1.47813
2011-08-23,1.48000
2011-08-24,1.48000
2011-08-25,1.48000
2011-08-26,1.48125
2011-08-29,1.48250
2011-08-30,1.48250
2011-08-31,1.48375
2011-09-01,1.48375
2011-09-02,1.48250
2011-09-05,1.47813
2011-09-06,1.47500
2011-09-07,1.47813
2011-09-08,1.47938
2011-09-09,1.47750
2011-09-12,1.47938
2011-09-13,1.47813
2011-09-14,1.47875
2011-09-15,1.47938
2011-09-16,1.48375
2011-09-19,1.48375
2011-09-20,1.48563
2011-09-21,1.48688
2011-09-22,1.48688
2011-09-23,1.48625
2011-09-26,1.48625
2011-09-27,1.48625
2011-09-28,1.49000
2011-09-29,1.49438
2011-09-30,1.49500
2011-10-03,1.49750
2011-10-04,1.49750
2011-10-05,1.49750
2011-10-06,1.49563
2011-10-07,1.50375
2011-10-10,1.50438
2011-10-11,1.50438
2011-10-12,1.50438
2011-10-13,1.50438
2011-10-14,1.50500
2011-10-17,1.50750
2011-10-18,1.50750
2011-10-19,1.51250
2011-10-20,1.51438
2011-10-21,1.51813
2011-10-24,1.51938
2011-10-25,1.52063
2011-10-26,1.52063
2011-10-27,1.52375
2011-10-28,1.52688
2011-10-31,1.52688
2011-11-01,1.52563
2011-11-02,1.52188
2011-11-03,1.51938
2011-11-04,1.44125
2011-11-07,1.43188
2011-11-08,1.42875
2011-11-09,1.42625
2011-11-10,1.41750
2011-11-11,1.41750
2011-11-14,1.41438
2011-11-15,1.41063
2011-11-16,1.40813
2011-11-17,1.41000
2011-11-18,1.41500
2011-11-21,1.41438
2011-11-22,1.41313
2011-11-23,1.41438
2011-11-24,1.41438
2011-11-25,1.41625
2011-11-28,1.41750
2011-11-29,1.41438
2011-11-30,1.40688
2011-12-01,1.40063
2011-12-02,1.40188
2011-12-05,1.40000
2011-12-06,1.40071
2011-12-07,1.39857
2011-12-08,1.39786
2011-12-09,1.36500
2011-12-12,1.35929
2011-12-13,1.35643
2011-12-14,1.34929
2011-12-15,1.34929
2011-12-16,1.34929
2011-12-19,1.34786
2011-12-20,1.34786
2011-12-21,1.34571
2011-12-22,1.33929
2011-12-23,1.33429
2011-12-26,.
2011-12-27,1.33286
2011-12-28,1.32429
2011-12-29,1.30429
2011-12-30,1.29214
2012-01-02,1.28357
2012-01-03,1.26857
2012-01-04,1.25714
2012-01-05,1.24071
2012-01-06,1.22857
2012-01-09,1.21729
2012-01-10,1.20929
2012-01-11,1.19929
2012-01-12,1.18286
2012-01-13,1.17029
2012-01-16,1.15786
2012-01-17,1.15071
2012-01-18,1.14314
2012-01-19,1.13614
2012-01-20,1.12571
2012-01-23,1.11214
2012-01-24,1.09886
2012-01-25,1.08829
2012-01-26,1.07686
2012-01-27,1.07057
2012-01-30,1.06514
2012-01-31,1.05929
2012-02-01,1.04943
2012-02-02,1.03971
2012-02-03,1.03171
2012-02-06,1.02214
2012-02-07,1.01786
2012-02-08,1.01086
2012-02-09,0.99943
2012-02-10,0.99157
2012-02-13,0.98614
2012-02-14,0.98286
2012-02-15,0.97821
2012-02-16,0.96821
2012-02-17,0.96536
2012-02-20,0.95750
2012-02-21,0.95179
2012-02-22,0.94450
2012-02-23,0.93421
2012-02-24,0.92464
2012-02-27,0.91550
2012-02-28,0.90793
2012-02-29,0.89586
2012-03-01,0.87893
2012-03-02,0.86114
2012-03-05,0.85143
2012-03-06,0.83843
2012-03-07,0.82400
2012-03-08,0.81429
2012-03-09,0.80329
2012-03-12,0.79329
2012-03-13,0.78400
2012-03-14,0.77314
2012-03-15,0.76286
2012-03-16,0.75286
2012-03-19,0.74286
2012-03-20,0.73214
2012-03-21,0.72357
2012-03-22,0.71829
2012-03-23,0.70986
2012-03-26,0.70129
2012-03-27,0.69514
2012-03-28,0.69157
2012-03-29,0.68814
2012-03-30,0.68086
2012-04-02,0.67529
2012-04-03,0.67450
2012-04-04,0.67250
2012-04-05,0.67107
2012-04-06,.
2012-04-09,.
2012-04-10,0.66857
2012-04-11,0.66500
2012-04-12,0.66214
2012-04-13,0.65843
2012-04-16,0.65679
2012-04-17,0.65714
2012-04-18,0.65429
2012-04-19,0.65214
2012-04-20,0.65036
2012-04-23,0.65143
2012-04-24,0.65071
2012-04-25,0.64786
2012-04-26,0.64643
2012-04-27,0.64214
2012-04-30,0.63686
2012-05-01,0.63686
2012-05-02,0.62929
2012-05-03,0.62286
2012-05-04,0.62071
2012-05-07,0.61821
