Date,Last,Settlement Price,Change,% Change,Bid,Ask,Open Interest,CVol
8/8/2018,51450.00,51539.00,837,1.65,"51,531.00","51,546.00","96,247.00",19429
8/10/2018,51500.00,51415.00,-124,-0.24,"51,412.00","51,417.00","97,971.00",23679
8/13/2018,51587.00,51737.00,322,0.63,"51,734.00","51,740.00","99,707.00",20262
8/14/2018,51500.00,51433.00,-304,-0.59,"51,430.00","51,435.00","101,361.00",24381
8/15/2018,51500.00,51433.00,,,"51,430.00","51,435.00","101,361.00",24381
8/16/2018,50479.00,50429.00,"-1,004.00",-1.95,"50,425.00","50,432.00","102,813.00",26796
8/17/2018,50705.00,50472.00,43,0.09,"50,460.00","50,484.00","100,002.00",25352
8/20/2018,50942.00,50987.00,515,1.02,"50,980.00","50,993.00","100,073.00",21376
8/21/2018,51100.00,51032.00,45,0.09,"51,025.00","51,039.00","99,323.00",19145
8/22/2018,51873.00,51893.00,861,1.69,"51,886.00","51,899.00","100,171.00",27865
8/23/2018,51700.00,51960.00,67,0.13,"51,951.00","51,969.00","102,634.00",23953
8/24/2018,52699.00,52601.00,641,1.23,"52,599.00","52,603.00","106,412.00",26098
8/27/2018,53525.00,53462.00,861,1.64,"53,459.00","53,464.00","110,757.00",28024
8/28/2018,53684.00,53746.00,284,0.53,"53,737.00","53,755.00","114,463.00",32368
8/29/2018,53684.00,53746.00,,,"53,737.00","53,755.00","114,463.00",32368
8/30/2018,52377.00,52495.00,"-1,251.00",-2.33,"52,484.00","52,505.00","115,666.00",34877
8/31/2018,51998.00,52203.00,-292,-0.56,"52,193.00","52,213.00","118,363.00",26490
9/3/2018,52260.00,52305.00,102,0.2,"52,300.00","52,310.00","120,344.00",18632
9/4/2018,51318.00,51437.00,-868,-1.66,"51,434.00","51,440.00","118,507.00",27830
9/5/2018,50780.00,50744.00,-693,-1.35,"50,735.00","50,752.00","119,928.00",29831
9/6/2018,50697.00,50825.00,81,0.16,"50,820.00","50,830.00","118,992.00",24401
9/7/2018,50738.00,50785.00,-40,-0.08,"50,780.00","50,789.00","118,397.00",23976
9/10/2018,50475.00,50333.00,-452,-0.89,"50,330.00","50,336.00","117,073.00",21765
9/11/2018,49977.00,49830.00,-503,-1,"49,822.00","49,838.00","116,894.00",35451
9/12/2018,50020.00,49713.00,-117,-0.23,"49,710.00","49,716.00","116,484.00",38395
9/13/2018,49715.00,49783.00,70,0.14,"49,777.00","49,789.00","117,763.00",39637
9/14/2018,50399.00,50284.00,501,1.01,"50,277.00","50,290.00","111,450.00",44323
9/17/2018,50081.00,50032.00,-252,-0.5,"50,024.00","50,039.00","98,613.00",101158
9/18/2018,50050.00,50074.00,42,0.08,"50,071.00","50,077.00","67,096.00",158366
9/19/2018,50170.00,50197.00,123,0.25,"50,194.00","50,199.00","48,432.00",64760
9/20/2018,50973.00,50997.00,800,1.59,"50,994.00","50,999.00","93,174.00",74212
9/21/2018,51723.00,51737.00,740,1.45,"51,734.00","51,740.00","94,967.00",35564
9/25/2018,51499.00,51338.00,-399,-0.77,"51,327.00","51,349.00","91,909.00",40829
9/26/2018,51022.00,51071.00,-267,-0.52,"51,067.00","51,075.00","92,777.00",24339
9/27/2018,50275.00,50446.00,-625,-1.22,"50,441.00","50,450.00","94,298.00",23829
9/28/2018,50070.00,50119.00,-327,-0.65,"50,109.00","50,129.00","96,304.00",39451
10/1/2018,50150.00,50123.00,4,0.01,"50,105.00","50,140.00","98,439.00",30143
10/2/2018,49948.00,50010.00,-113,-0.23,"50,005.00","50,015.00","99,383.00",38492
