Date,nikkei,jse,aex,libor,euryen_bid,eurzar_bid,jse_eur,nikkei_eur,jse_ret,nikkei_ret,aex_ret,libor_change,loss
2011-03-01,10754.03,28703.0,367.95,0.0104938,0.008811,0.104029,2985.944387,94.75375833,,,,,
2011-03-02,10492.38,28690.0,364.86,0.010475000000000002,0.008819,0.104978,3011.81882,92.53229922,0.008628081043777769,-0.023723744602126118,-0.00843334101253479,-1.8799999999997638e-07,1652687.8295525042
2011-03-03,10586.02,29090.0,367.6,0.0104813,0.008706,0.103711,3016.9529899999998,92.16189012000001,0.00170322294589198,-0.004011058473867735,0.007481672121458338,6.299999999999015e-08,-259449.40777396248
2011-03-04,10693.66,29030.0,367.95,0.0111813,0.008675,0.103604,3007.62412,92.7675005,-0.003096940178801688,0.006549662473100071,0.0009516688910764515,6.999999999999992e-06,-356746.0679119131
2011-03-07,10505.02,29172.0,366.08,0.0112438,0.008696,0.10397,3033.0128400000003,91.35165392,0.008406023956682773,-0.015379980355588962,-0.005095170621229883,6.250000000000006e-07,969645.380401063
2011-03-08,10525.19,28811.0,366.38,0.0112938,0.008698,0.104256,3003.719616,91.54810262,-0.009705069468154193,0.00214815786811684,0.000819157405934412,4.99999999999997e-07,113779.98875072609
2011-03-09,10589.5,28750.0,366.25,0.0112938,0.008684,0.10441,3001.7875,91.959218,-0.000643448098333721,0.004480650324080848,-0.0003548858260353782,0.0,-226596.84122819835
2011-03-10,10434.38,27757.0,362.14,0.011281300000000001,0.008723,0.104865,2910.737805,91.01909674,-0.030801354278874093,-0.010275857375330766,-0.011285282938780838,-1.2499999999998623e-07,2198922.3267917032
2011-03-11,10254.43,27961.0,359.07,0.011256299999999999,0.008829,0.104519,2922.455759,90.53636247,0.004017685898413781,-0.005317773529830205,-0.008513521839107696,-2.500000000000245e-07,708353.3498089088
2011-03-14,9620.49,27775.0,356.32,0.0112625,0.00876,0.104338,2897.98795,84.2754924,-0.00840759033296301,-0.071660461376724,-0.007688152044331709,6.200000000001343e-08,4862126.151335846
2011-03-15,8605.15,27185.0,348.09,0.011200000000000002,0.008854,0.10266,2790.8121,76.1899981,-0.037684057101913915,-0.10086090833241723,-0.023368136481493273,-6.249999999999832e-07,8254063.400304026
2011-03-16,9093.72,27315.0,343.2,0.011200000000000002,0.008953,0.102378,2796.45507,81.41607515999999,0.0020199398908227195,0.06634254150200913,-0.014147699413756598,0.0,-3331095.489295823
2011-03-17,8962.67,27490.0,349.26,0.0112125,0.009053,0.100786,2770.60714,81.13905151,-0.00928608834128486,-0.0034083688882216023,0.017503262897891503,1.2499999999998623e-07,-575757.1167144519
2011-03-18,9206.75,27635.0,350.41,0.011225,0.008715,0.10109,2793.62215,80.23682625000001,0.008272535171613526,-0.011181778504973039,0.0032872669560992662,1.2500000000000357e-07,222642.4661695307
2011-03-22,9608.32,27889.0,356.38,0.0113625,0.008684,0.102057,2846.267673,83.43865088000001,0.018669532130140887,0.03912905216171669,0.01689367983147072,1.3749999999999873e-06,-3979654.8911590134
2011-03-23,9449.47,28344.0,359.74,0.011406300000000001,0.008745,0.101974,2890.351056,82.63561514999999,0.015369419812297558,-0.009670878070464184,0.009383971000556102,4.3800000000001824e-07,-450617.12259264354
2011-03-24,9435.01,28720.0,363.39,0.0114375,0.008709,0.102647,2948.02184,82.16950209,0.019756415300636654,-0.005656551333362181,0.010095089396995327,3.119999999999859e-07,-866652.058173366
2011-03-25,9536.13,28650.0,364.65,0.011525,0.008711,0.103232,2957.5968000000003,83.06922843,0.0032426639692246795,0.010890125203195211,0.003461351733421658,8.750000000000077e-07,-960195.8178268523
2011-03-28,9478.53,28525.0,364.57,0.0116,0.008672,0.103132,2941.8403,82.19781216,-0.0053417087762897,-0.010545651967635905,-0.00021941252385015986,7.499999999999868e-07,804684.3157172833
2011-03-29,9459.08,28940.0,365.91,0.011675,0.008629,0.103558,2996.96852,81.62240132,0.018565946537123956,-0.0070249353744351595,0.0036688246168647964,7.500000000000041e-07,-360398.14647884195
2011-03-30,9708.79,29291.0,367.87,0.01175,0.008539,0.104082,3048.665862,82.90335781,0.017102788185008322,0.015571815388460308,0.005342213364789572,7.500000000000041e-07,-1778195.6250121244
2011-03-31,9755.1,29207.0,365.62,0.0118,0.008499,0.104157,3042.113499,82.9085949,-0.0021515688352344853,6.316902872427477e-05,-0.006135072209106696,4.99999999999997e-07,429999.8795399849
2011-04-01,9708.39,29500.0,369.45,0.011899999999999999,0.008379,0.104965,3096.4675,81.34659980999999,0.017709441827959083,-0.019019698950534902,0.010420870555717165,9.99999999999994e-07,-31808.983152548768
2011-04-04,9718.89,29541.0,369.01,0.0120313,0.00837,0.104822,3096.546702,81.3471093,2.55778518898353e-05,6.263180091892195e-06,-0.001191669290331987,1.3130000000000086e-06,72655.04475715313
