,Date,ASML.AS,SONY,AKZA.AS,BAYN.DE,TSN,NTDOY,SQNXF,AMD,CSGN.SW,MUFG,ASML.AS_ret,SONY_ret,AKZA.AS_ret,BAYN.DE_ret,TSN_ret,NTDOY_ret,SQNXF_ret,AMD_ret,CSGN.SW_ret,MUFG_ret,port_ret
1,2011-04-21,32.60290908813477,30.5,35.00621795654297,39.35493850708008,16.858064651489258,30.76000022888184,15.328622817993164,8.710000038146973,24.50019454956055,4.519999980926514,,,,,,,,,,,
2,2011-04-26,33.39867401123047,29.790000915527344,35.18631362915039,39.69546508789063,16.901315689086914,30.85000038146973,15.207409858703613,8.880000114440918,24.78398132324219,4.6599998474121085,0.024114678708280657,-0.023553886155468273,0.00513148802960206,0.00861548256970801,0.0025623136932533264,0.002921610638368932,-0.007939053329477641,0.019329774647482534,0.011516471775431025,0.030503425769029313,0.007320230634620994
3,2011-04-27,33.30435562133789,29.03000068664551,35.51983642578125,39.987342834472656,17.039710998535153,30.149999618530273,15.207409858703613,8.949999809265137,24.790283203125,4.6599998474121085,-0.002828011059544,-0.02584299576839655,0.009434123342030531,0.007326023257199221,0.008155090753457994,-0.022951852195905342,0.0,0.007851941084036529,0.0002542399762037739,0.0,-0.0018601440610917842
4,2011-04-28,33.392776489257805,28.38999938964844,35.286376953125,40.80043029785156,17.10025405883789,29.649999618530273,15.207409858703613,9.06999969482422,24.64523887634277,4.760000228881836,0.0026514159431392237,-0.02229285270344361,-0.006594345538935453,0.02012965296898228,0.0035467595627460824,-0.01672279794282261,0.0,0.013318719504715748,-0.005868037268903503,0.02123230093437556,0.0009400815459853718
5,2011-04-29,32.95657730102539,28.309999465942386,35.70855712890625,41.24519729614258,17.212703704833984,29.790000915527344,15.207409858703613,9.100000381469727,24.790283203125,4.769999980926514,-0.013148748188793746,-0.0028218687268775078,0.011893388106392067,0.010842048947392158,0.006554378048015064,0.004710684879921434,0.0,0.003302224962232092,0.005868037268903503,0.0020985845738685782,0.002929872987105364
6,2011-05-02,32.95068359375,28.79999923706055,35.892417907714844,41.444820404052734,17.230003356933597,30.63999938964844,15.207409858703613,9.029999732971193,24.834434509277344,4.800000190734863,-0.0001788484974518667,0.017160280391766758,0.005135717295305486,0.004828236860047408,0.001004546682312757,0.028133527494402788,0.0,-0.007722117584956667,0.001779408320583098,0.0062696567486588695,0.005641040771066863
7,2011-05-03,32.921218872070305,28.440000534057614,35.524696350097656,41.7442741394043,17.108903884887695,30.729999542236328,15.207409858703613,8.800000190734863,24.730085372924805,4.829999923706055,-0.0008946067303909899,-0.01257873693750966,-0.010297946398471591,0.007199381851957121,-0.007053222353883726,0.0029330362937805,0.0,-0.025800594699020074,-0.004210644661634788,0.006230494218359084,-0.004447283941681412
8,2011-05-04,33.08626937866211,28.3799991607666,35.075279235839844,40.91722869873047,16.7542724609375,30.71999931335449,16.102510452270508,8.789999961853027,24.586610794067386,4.8400001525878915,0.005000973524513785,-0.0021119815528374275,-0.012731539383451729,-0.02001108159983378,-0.02094572497622771,-0.0003254753183519199,0.05719238877582811,-0.0011370358013063075,-0.005818515626047294,0.002068300386330435,0.00011803084286161613
9,2011-05-05,33.32204055786133,27.979999542236328,34.76205062866211,41.33787536621094,16.624530792236328,30.649999618530273,16.102510452270508,8.869999885559082,24.358346939086914,4.78000020980835,0.007100682732316788,-0.014194689283653084,-0.008970294486969621,0.010227944861860294,-0.007773934920182413,-0.0022812359915032054,0.0,0.009060076062197275,-0.009327437206346989,-0.01247416185863992,-0.0028633050090920873
10,2011-05-06,33.38688278198242,28.059999465942386,35.32042694091797,42.05084991455078,16.339094161987305,30.649999618530273,16.102510452270508,8.920000076293945,24.46269798278809,4.849999904632568,0.0019440351094299757,0.002855102764666384,0.015935170880459815,0.017100439421632085,-0.017318712067966313,0.0,0.0,0.005621171725582741,0.004274845111569281,0.014538094889679831,0.00449501478350538
11,2011-05-09,33.76414108276367,28.68000030517578,35.43618392944336,41.15963363647461,15.353039741516113,30.10000038146973,16.270347595214847,8.9399995803833,24.12356948852539,4.900000095367432,0.011236232844239247,0.021854970730524226,0.003271979547198267,-0.021421588247578338,-0.06224716786093243,-0.018107465507982923,0.01036909663586627,0.002239587103380014,-0.013960076352736994,0.010256539293318268,-0.005650789181470439
12,2011-05-10,34.153175354003906,28.989999771118164,36.11032104492188,41.687232971191406,15.526033401489258,29.75,16.270347595214847,8.9399995803833,24.29313468933105,4.980000019073486,0.01145623963241249,0.01075090866622741,0.018845282993305013,0.012736908200716712,0.011204706115925944,-0.011696052436604099,0.0,0.0,0.007004437701980226,0.01619467028725685,0.007649710116122055
13,2011-05-11,32.98605728149414,28.29999923706055,35.68813705444336,41.822696685791016,15.577927589416506,28.920000076293945,16.270347595214847,8.880000114440918,24.46269798278809,4.8400001525878915,-0.03477059867786947,-0.024089157348164303,-0.011760387828663621,0.0032442569158246393,0.0033368249203564737,-0.028295732062971535,0.0,-0.006733972356861351,0.006955638650756768,-0.02851514261161503,-0.012062827039920742
14,2011-05-12,33.49298477172852,28.229999542236328,35.136573791503906,41.27371215820313,16.295846939086914,28.520000457763672,16.270347595214847,8.930000305175781,24.46269798278809,4.849999904632568,0.015251041538559384,-0.002476551640306468,-0.01557576182880549,-0.013213387260273546,0.045055272107763056,-0.013927788331952407,0.0,0.005614859171057418,0.0,0.0020639330310399107,0.002279161678708186
