,VaR,ES,Loss,Date
0,0.0,0.0,0.0,0.0
1,2.7528233351635976,3.1726198617323114,-0.4276482636512929,2011-03-31
2,2.7533598451180157,3.1734543221345874,-0.4607080749540836,2011-04-01
3,2.7536816978115337,3.1738658217796303,-0.2108750339924974,2011-04-04
4,2.7541109491887017,3.17427463161752,0.2160669939821497,2011-04-05
5,2.7535232499695517,3.173841136246241,-0.185214416670113,2011-04-06
6,2.753388764587259,3.173697208491894,0.159490114659846,2011-04-07
7,2.7528746300267795,3.173097464676381,-0.7364677141721764,2011-04-08
8,2.755048080015787,3.1753071190081124,0.7850649490021784,2011-04-11
9,2.75009747555297,3.169552514850074,1.8114444558433,2011-04-12
10,2.749996151382269,3.1696166309545375,-0.8560566725592887,2011-04-13
11,2.7553311677984826,3.1754884362068836,0.1587883980838417,2011-04-14
12,2.7523261546182765,3.1721357529772494,1.2058524866229263,2011-04-18
13,2.750314623494669,3.170200399705083,0.0912606554491125,2011-04-19
14,2.745617641182854,3.1646686507712496,-2.3497744757583963,2011-04-20
15,2.7475118351880847,3.1665121953449407,-0.6363544243007062,2011-04-21
16,2.7489023004459088,3.1679499713451236,-0.1092918469432218,2011-04-26
17,2.7482244975126755,3.1672369656043657,-0.8949968095487736,2011-04-27
18,2.7484447623650503,3.167490184179604,-0.2504639615763614,2011-04-28
19,2.749090859201357,3.1681688433475714,-0.4456467062116379,2011-05-02
20,2.732299948742865,3.1480145082701925,3.5348289292029644,2011-05-06
21,2.7283224835157522,3.144433587854027,-0.8017158362621531,2011-05-09
22,2.731508651365553,3.1478482427210652,-1.1460261142169934,2011-05-10
23,2.7337367464907465,3.1500057807329664,1.1951497542132268,2011-05-11
24,2.731643451585075,3.14786414415455,0.249439702557567,2011-05-12
25,2.7296524399041524,3.145551184604317,0.928392825224834,2011-05-13
26,2.726432590275324,3.1419920643604082,1.5650103539593347,2011-05-16
27,2.7252978512799055,3.140850389780661,0.2320941165272796,2011-05-17
28,2.7273623407443215,3.1430700407952763,-1.4162997518999818,2011-05-18
29,2.7328870816050723,3.14907116727761,0.0378534634021746,2011-05-19
30,2.747705595258039,3.166131963927373,0.3500003073466298,2011-05-20
31,2.7708854104099694,3.19289800806633,1.9957898720867988,2011-05-23
32,2.768178935524513,3.1901951790770626,-0.197318620263128,2011-05-24
33,2.770219704123964,3.19296848600773,-0.7040172609889835,2011-05-25
34,2.7788572967720993,3.203918760576844,-0.8125200937197365,2011-05-26
35,2.7797829871229607,3.2051486776550044,-0.3959538496468009,2011-05-27
36,2.778462412644636,3.2035272129719594,-1.5455199622103364,2011-05-31
37,2.795870851206765,3.223240489580961,1.6700725798794622,2011-06-01
38,2.7938527261444515,3.221403675739705,0.5222636677591523,2011-06-02
39,2.7925820057590243,3.2201921236727236,0.8321381440525337,2011-06-03
40,2.797179696227531,3.225364778119789,1.2219128429530055,2011-06-06
41,2.7960949053041735,3.224682615678927,-0.3567821546185474,2011-06-07
42,2.7964285898685337,3.2253015611515488,0.5093941337723877,2011-06-08
43,2.796011964253227,3.2248743217100397,-0.5346003736077566,2011-06-09
44,2.7942416510925288,3.2226648016861077,1.2213042108047754,2011-06-10
45,2.7938387359025225,3.222325371962421,0.4078253288593357,2011-06-13
46,2.7918396452773755,3.2202641305377298,-1.43127647283287,2011-06-14
47,2.7902645025311568,3.2185047180260837,1.7462136636054069,2011-06-15
48,2.786820891512015,3.2148399257570697,0.8086577066494776,2011-06-16
49,2.791812922272752,3.220596055600126,0.357427607765896,2011-06-17
50,2.802455902201727,3.2327919673469063,-0.0052590556416477,2011-06-20
51,2.8003815480031795,3.2306142624753487,-1.7259073902064928,2011-06-21
52,2.8095756495071433,3.240825839682577,-0.0704111743970299,2011-06-22
53,2.809321844900491,3.240462023410024,0.7125788642582158,2011-06-23
54,2.8115669255794704,3.243894555322409,0.7081087232243276,2011-06-24
55,2.810608379445749,3.242966912048025,-0.3740985190911889,2011-06-27
56,2.8100137740004407,3.2425442573443544,-1.488597285789516,2011-06-28
57,2.812801151387111,3.2461320815017727,-1.4416263703877377,2011-06-29
58,2.8137288881818394,3.247143588597833,-0.7133690086826763,2011-06-30
59,2.8135184703275447,3.2470248184666017,-1.159322267004739,2011-07-01
60,2.8139052049027207,3.247407154900634,-0.7867472711770376,2011-07-05
61,2.8140527533537623,3.2476484862060726,-0.2981623117062401,2011-07-06
62,2.8169024225471153,3.250753572222932,-1.432947113245422,2011-07-07
63,2.8182335940737526,3.2520323000386884,0.2847489246824711,2011-07-08
64,2.814206228313662,3.247731049241397,1.828552740908124,2011-07-11
65,2.8105166143632037,3.243910418984068,0.8151971878753914,2011-07-12
66,2.809912973180496,3.2432810919757693,-0.7626470648268626,2011-07-13
67,2.8093948630727903,3.2425124859261403,1.0163171915996143,2011-07-14
68,2.8081315722359625,3.241225789246807,-0.73005579530484,2011-07-15
69,2.808696609958335,3.2420916402572852,-0.2192873727365121,2011-07-19
70,2.8087528954657874,3.2425147932665586,-0.4942171807587794,2011-07-20
71,2.808961662225541,3.242653602413883,-0.7100068946836454,2011-07-21
72,2.810710858536223,3.244455505051576,-1.0611844236857817,2011-07-22
73,2.8104582779760774,3.244229192220155,0.7103651861610802,2011-07-25
74,2.810068364298819,3.243861322546974,-0.2182424697259041,2011-07-26
75,2.8066372478096584,3.23983657290429,1.8962838862385367,2011-07-27
76,2.803987316455414,3.2371294087941913,0.4659125620332857,2011-07-28
77,2.802379896826846,3.2355150692125187,0.8139805689473759,2011-07-29
78,2.8013436045263815,3.2344453872962684,0.201282675019016,2011-08-01
