,VaR,ES,Loss,Date
0,0.0,0.0,0.0,0.0
1,5.086851585430209,6.469620710510693,-0.4276482636512929,2011-03-31
2,5.089044671174247,6.4727952161904065,-0.4607080749540836,2011-04-01
3,5.089864952282879,6.473910785680145,-0.2108750339924974,2011-04-04
4,5.090180550670721,6.4741590516162075,0.2160669939821497,2011-04-05
5,5.09045020999184,6.474936643486333,-0.185214416670113,2011-04-06
6,5.090263225930476,6.474718557165381,0.159490114659846,2011-04-07
7,5.089273112158433,6.473446454793646,-0.7364677141721764,2011-04-08
8,5.091647854805557,6.475940451041372,0.7850649490021784,2011-04-11
9,5.0822270894836405,6.4638713885450745,1.8114444558433,2011-04-12
10,5.083045597306601,6.465234840620939,-0.8560566725592887,2011-04-13
11,5.091365107944819,6.475322481727885,0.1587883980838417,2011-04-14
12,5.086427082779569,6.469239265071905,1.2058524866229263,2011-04-18
13,5.0848390931720395,6.467902197933525,0.0912606554491125,2011-04-19
14,5.075500888851801,6.455814353160065,-2.3497744757583963,2011-04-20
15,5.077113476896546,6.457260106879841,-0.6363544243007062,2011-04-21
16,5.078766985324616,6.459069452313883,-0.1092918469432218,2011-04-26
17,5.077893458172504,6.458079970521177,-0.8949968095487736,2011-04-27
18,5.078296942549689,6.458592001271779,-0.2504639615763614,2011-04-28
19,5.079124082813419,6.459526398704189,-0.4456467062116379,2011-05-02
20,5.043632855460237,6.412956376212925,3.5348289292029644,2011-05-06
21,5.041860141184288,6.4124898421614045,-0.8017158362621531,2011-05-09
22,5.046316674840616,6.417698989936533,-1.1460261142169934,2011-05-10
23,5.048152479212412,6.419302386006591,1.1951497542132268,2011-05-11
24,5.04579040926285,6.416781083266149,0.249439702557567,2011-05-12
25,5.04200939844062,6.411939607324767,0.928392825224834,2011-05-13
26,5.036903236872636,6.4057159211897865,1.5650103539593347,2011-05-16
27,5.035729936696429,6.404519775870117,0.2320941165272796,2011-05-17
28,5.038657109433812,6.407958035735279,-1.4162997518999818,2011-05-18
29,5.046830508462089,6.417700602890177,0.0378534634021746,2011-05-19
30,5.074115899586367,6.452371857168219,0.3500003073466298,2011-05-20
31,5.117234802457915,6.507303451200556,1.9957898720867988,2011-05-23
32,5.114548598404073,6.504629256375861,-0.197318620263128,2011-05-24
33,5.120662209562367,6.51315577789248,-0.7040172609889835,2011-05-25
34,5.142158090919002,6.542269409645003,-0.8125200937197365,2011-05-26
35,5.144775252568599,6.545888664687248,-0.3959538496468009,2011-05-27
36,5.141781757535676,6.541904066444094,-1.5455199622103364,2011-05-31
37,5.17200487362185,6.579719095964087,1.6700725798794622,2011-06-01
38,5.170994821483572,6.579306265438284,0.5222636677591523,2011-06-02
39,5.170053071249235,6.578559409917818,0.8321381440525337,2011-06-03
40,5.177847506054364,6.588247720415732,1.2219128429530055,2011-06-06
41,5.179001290709959,6.59072772432098,-0.3567821546185474,2011-06-07
42,5.180920998446117,6.593587053877643,0.5093941337723877,2011-06-08
43,5.180445360979516,6.593076455494878,-0.5346003736077566,2011-06-09
44,5.176233099966423,6.587417489586519,1.2213042108047754,2011-06-10
45,5.1761831578538295,6.587576662455021,0.4078253288593357,2011-06-13
46,5.173838514769975,6.585027300653241,-1.43127647283287,2011-06-14
47,5.17123884987801,6.581820668990014,1.7462136636054069,2011-06-15
48,5.166565492415154,6.576418761898914,0.8086577066494776,2011-06-16
49,5.175805840470734,6.588175978372081,0.357427607765896,2011-06-17
50,5.195082971718498,6.612568316714501,-0.0052590556416477,2011-06-20
51,5.192433997733403,6.60957891561615,-1.7259073902064928,2011-06-21
52,5.207285166137823,6.627781550502424,-0.0704111743970299,2011-06-22
53,5.206419707265784,6.626553723851285,0.7125788642582158,2011-06-23
54,5.215266902419685,6.639312268430854,0.7081087232243276,2011-06-24
55,5.214480173207125,6.6386273302457655,-0.3740985190911889,2011-06-27
56,5.214841597321937,6.639555143459875,-1.488597285789516,2011-06-28
57,5.222079381649875,6.649429521972877,-1.4416263703877377,2011-06-29
58,5.2234728732507225,6.651098944837917,-0.7133690086826763,2011-06-30
59,5.223772007908575,6.651699958224669,-1.159322267004739,2011-07-01
60,5.2241342892426434,6.652047752507517,-0.7867472711770376,2011-07-05
61,5.224803261330381,6.653025636240102,-0.2981623117062401,2011-07-06
62,5.229073023459067,6.658136716662816,-1.432947113245422,2011-07-07
63,5.230112613004908,6.659003561701201,0.2847489246824711,2011-07-08
64,5.224562472820327,6.6525512707142855,1.828552740908124,2011-07-11
65,5.220144420823982,6.647701663684591,0.8151971878753914,2011-07-12
66,5.21939796892521,6.646870605162534,-0.7626470648268626,2011-07-13
67,5.217487125509768,6.644134652360696,1.0163171915996143,2011-07-14
68,5.216093700443207,6.642664130714449,-0.73005579530484,2011-07-15
69,5.218331231071208,6.645892511196795,-0.2192873727365121,2011-07-19
70,5.220427264549786,6.649196970716102,-0.4942171807587794,2011-07-20
71,5.220247073723191,6.648786346285583,-0.7100068946836454,2011-07-21
72,5.22228931213505,6.651002194237004,-1.0611844236857817,2011-07-22
73,5.222182777616339,6.650982183074176,0.7103651861610802,2011-07-25
74,5.221915426478334,6.650787442751893,-0.2182424697259041,2011-07-26
75,5.2151837668380825,6.642100412963571,1.8962838862385367,2011-07-27
76,5.212215626874309,6.6389437538417555,0.4659125620332857,2011-07-28
77,5.210569732973055,6.637275066284778,0.8139805689473759,2011-07-29
78,5.209347797625115,6.635943148774323,0.201282675019016,2011-08-01
79,5.198272743512983,6.621624647941162,2.036108267893306,2011-08-02
80,5.191892147247263,6.613793163289595,1.1867281416255016,2011-08-03
